time,flowId,throughput_mbps,delay_ms,jitter_ms,lost_packets,sinr_db,rsrp_dbm,packet_loss_rate
16.3,2,102.4,0.351783,0.0585696,589,44.8625,-140,0.370673
16.4,1,10.24,0.320531,0.03,0,44.8625,-140,0
16.4,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
16.5,1,10.24,0.320531,0.03,0,44.8625,-140,0
16.5,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
16.6,1,0.02048,0.314281,0.03125,0,-15.1375,-140,0
16.6,2,7.5776,51.5497,1.30027,0,-15.1375,-140,0
16.7,1,0.29696,153.968,6.8682,2,-15.1375,-140,0.0645161
16.7,2,7.4752,138.745,1.2613,3,-15.1375,-140,0.0394737
16.8,1,10.7213,22.1152,0.285925,902,44.8625,-140,0.462801
16.8,2,138.342,117.455,0.157145,1,44.8625,-140,0.000739645
16.9,1,10.24,0.320531,0.03,1000,44.8625,-140,0.5
16.9,2,102.4,0.351783,0.0585696,912,44.8625,-140,0.476987
17,1,10.24,0.320531,0.03,4,44.8625,-140,0.00398406
17,2,102.4,0.351783,0.0585696,589,44.8625,-140,0.370673
17.1,1,10.24,0.320531,0.03,0,44.8625,-140,0
17.1,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
17.2,1,10.24,0.320531,0.03,0,44.8625,-140,0
17.2,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
17.3,1,0.02048,0.314281,0.03125,0,-15.1375,-140,0
17.3,2,7.2704,51.6749,1.36146,0,-15.1375,-140,0
17.4,1,0.31744,160.389,6.44807,2,-15.1375,-140,0.0606061
17.4,2,7.3728,139.092,1.28064,3,-15.1375,-140,0.04
17.5,1,10.7827,24.8992,0.291213,908,44.8625,-140,0.463029
17.5,2,138.445,117.757,0.157189,1,44.8625,-140,0.000739098
17.6,1,10.24,0.320531,0.03,1000,44.8625,-140,0.5
17.6,2,102.4,0.351783,0.0585696,912,44.8625,-140,0.476987
17.7,1,10.24,0.320531,0.03,4,44.8625,-140,0.00398406
17.7,2,102.4,0.351783,0.0585696,589,44.8625,-140,0.370673
17.8,1,10.24,0.320531,0.03,0,44.8625,-140,0
17.8,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
17.9,1,10.24,0.320531,0.03,0,44.8625,-140,0
17.9,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
18,1,0.02048,0.314281,0.03125,0,-15.1375,-140,0
18,2,7.2704,51.9458,1.36045,0,-15.1375,-140,0
18.1,1,0.36864,162.75,5.54417,2,-15.1375,-140,0.0526316
18.1,2,7.3728,139.53,1.28889,3,-15.1375,-140,0.04
18.2,1,10.7827,23.8085,0.288791,910,44.8625,-140,0.463576
18.2,2,138.342,117.752,0.156843,1,44.8625,-140,0.000739645
18.3,1,10.24,0.320531,0.03,1000,44.8625,-140,0.5
18.3,2,102.4,0.351783,0.0585696,912,44.8625,-140,0.476987
18.4,1,10.24,0.320531,0.03,4,44.8625,-140,0.00398406
18.4,2,102.4,0.351783,0.0585696,589,44.8625,-140,0.370673
18.5,1,10.24,0.320531,0.03,0,44.8625,-140,0
18.5,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
18.6,1,10.24,0.320531,0.03,0,44.8625,-140,0
18.6,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
18.7,1,0.02048,0.314281,0.03125,0,-15.1375,-140,0
18.7,2,7.2704,51.7786,1.35121,0,-15.1375,-140,0
18.8,1,0.26624,153.707,7.14962,2,-15.1375,-140,0.0714286
18.8,2,7.3728,139.132,1.29323,3,-15.1375,-140,0.04
18.9,1,10.7622,24.6305,0.304255,905,44.8625,-140,0.462679
18.9,2,138.445,117.764,0.156979,1,44.8625,-140,0.000739098
19,1,10.24,0.320531,0.03,1000,44.8625,-140,0.5
19,2,102.4,0.351783,0.0585696,912,44.8625,-140,0.476987
19.1,1,10.24,0.320531,0.03,4,44.8625,-140,0.00398406
19.1,2,102.4,0.351783,0.0585696,589,44.8625,-140,0.370673
19.2,1,10.24,0.320531,0.03,0,44.8625,-140,0
19.2,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
19.3,1,10.24,0.320531,0.03,0,44.8625,-140,0
19.3,2,102.4,0.351783,0.0585696,0,44.8625,-140,0
19.4,1,0.02048,0.314281,0.03125,0,-0.638034,-140,0
19.4,2,7.5776,51.614,1.30533,0,-0.638034,-140,0
19.5,1,0.22528,152.248,8.54671,2,-0.638034,-140,0.0833333
19.5,2,7.2704,139.083,1.29525,3,-0.638034,-140,0.0405405
19.6,1,10.8544,25.9415,0.299302,916,44.8625,-140,0.463563
19.6,2,138.445,117.621,0.15712,1,44.8625,-140,0.000739098
19.7,1,10.24,0.320531,0.03,1000,44.8625,-140,0.5
19.7,2,102.4,0.351783,0.0585696,908,44.8625,-140,0.475891
